NUM_PLAYERS,ROUND_NUM,CLASS,,NP / RN,NP / MAX_S,E > F,TEST,PROB,NUM_TABLES,NUM_MAX_TABLES,NUM_MIN_TABLES,MAX_SEATS_PER_TABLE,MIN_SEATS_PER_TABLE
61,6,NONE_CONVERGED,FALSE,10.1666666666667,15.25,FALSE,TRUE,0,16,13,3,4,3
62,2,ALL_CONVERGED,TRUE,31,15.5,TRUE,TRUE,1,16,14,2,4,3
62,3,ALL_CONVERGED,TRUE,20.6666666666667,15.5,TRUE,TRUE,1,16,14,2,4,3
62,5,NONE_CONVERGED,FALSE,12.4,15.5,FALSE,TRUE,0,16,14,2,4,3
62,6,NONE_CONVERGED,FALSE,10.3333333333333,15.5,FALSE,TRUE,0,16,14,2,4,3
63,2,ALL_CONVERGED,TRUE,31.5,15.75,TRUE,TRUE,1,16,15,1,4,3
63,3,ALL_CONVERGED,TRUE,21,15.75,TRUE,TRUE,1,16,15,1,4,3
63,5,NONE_CONVERGED,FALSE,12.6,15.75,FALSE,TRUE,0,16,15,1,4,3
63,6,NONE_CONVERGED,FALSE,10.5,15.75,FALSE,TRUE,0,16,15,1,4,3
4,6,SOME_CONVERGED,FALSE,0.666666666666667,1,FALSE,TRUE,0.85,1,1,0,4,3
5,4,SOME_CONVERGED,FALSE,1.25,1.25,FALSE,TRUE,0.05,2,0,2,4,3
6,2,SOME_CONVERGED,FALSE,3,1.5,TRUE,FALSE,0.05,2,0,2,4,3
6,3,SOME_CONVERGED,FALSE,2,1.5,TRUE,FALSE,0.05,2,0,2,4,3
6,4,SOME_CONVERGED,FALSE,1.5,1.5,FALSE,TRUE,0.65,2,0,2,4,3
6,5,SOME_CONVERGED,FALSE,1.2,1.5,FALSE,TRUE,0.35,2,0,2,4,3
8,4,SOME_CONVERGED,FALSE,2,2,FALSE,TRUE,0.65,2,2,0,4,3
8,5,SOME_CONVERGED,FALSE,1.6,2,FALSE,TRUE,0.45,2,2,0,4,3
8,6,SOME_CONVERGED,FALSE,1.33333333333333,2,FALSE,TRUE,0.1,2,2,0,4,3
9,3,SOME_CONVERGED,FALSE,3,2.25,TRUE,FALSE,0.1,3,0,3,4,3
9,4,SOME_CONVERGED,FALSE,2.25,2.25,FALSE,TRUE,0.05,3,0,3,4,3
9,5,SOME_CONVERGED,FALSE,1.8,2.25,FALSE,TRUE,0.05,3,0,3,4,3
9,6,SOME_CONVERGED,FALSE,1.5,2.25,FALSE,TRUE,0.1,3,0,3,4,3
12,2,SOME_CONVERGED,FALSE,6,3,TRUE,FALSE,0.05,3,3,0,4,3
12,3,SOME_CONVERGED,FALSE,4,3,TRUE,FALSE,0.05,3,3,0,4,3
13,2,SOME_CONVERGED,FALSE,6.5,3.25,TRUE,FALSE,0.85,4,1,3,4,3
13,3,SOME_CONVERGED,FALSE,4.33333333333333,3.25,TRUE,FALSE,0.1,4,1,3,4,3
16,3,SOME_CONVERGED,FALSE,5.33333333333333,4,TRUE,FALSE,0.5,4,4,0,4,3
17,3,SOME_CONVERGED,FALSE,5.66666666666667,4.25,TRUE,FALSE,0.2,5,2,3,4,3
18,3,SOME_CONVERGED,FALSE,6,4.5,TRUE,FALSE,0.35,5,3,2,4,3
19,3,SOME_CONVERGED,FALSE,6.33333333333333,4.75,TRUE,FALSE,0.35,5,4,1,4,3
20,3,SOME_CONVERGED,FALSE,6.66666666666667,5,TRUE,FALSE,0.45,5,5,0,4,3
21,3,SOME_CONVERGED,FALSE,7,5.25,TRUE,FALSE,0.75,6,3,3,4,3
22,3,SOME_CONVERGED,FALSE,7.33333333333333,5.5,TRUE,FALSE,0.75,6,4,2,4,3
23,3,SOME_CONVERGED,FALSE,7.66666666666667,5.75,TRUE,FALSE,0.75,6,5,1,4,3
24,3,SOME_CONVERGED,FALSE,8,6,TRUE,FALSE,0.85,6,6,0,4,3
25,3,SOME_CONVERGED,FALSE,8.33333333333333,6.25,TRUE,FALSE,0.9,7,4,3,4,3
26,3,SOME_CONVERGED,FALSE,8.66666666666667,6.5,TRUE,FALSE,0.95,7,5,2,4,3
29,3,SOME_CONVERGED,FALSE,9.66666666666667,7.25,TRUE,FALSE,0.95,8,5,3,4,3
31,4,SOME_CONVERGED,FALSE,7.75,7.75,FALSE,TRUE,0.05,8,7,1,4,3
32,4,SOME_CONVERGED,FALSE,8,8,FALSE,TRUE,0.1,8,8,0,4,3
34,4,SOME_CONVERGED,FALSE,8.5,8.5,FALSE,TRUE,0.05,9,7,2,4,3
35,4,SOME_CONVERGED,FALSE,8.75,8.75,FALSE,TRUE,0.25,9,8,1,4,3
36,4,SOME_CONVERGED,FALSE,9,9,FALSE,TRUE,0.3,9,9,0,4,3
37,4,SOME_CONVERGED,FALSE,9.25,9.25,FALSE,TRUE,0.05,10,7,3,4,3
38,4,SOME_CONVERGED,FALSE,9.5,9.5,FALSE,TRUE,0.05,10,8,2,4,3
39,4,SOME_CONVERGED,FALSE,9.75,9.75,FALSE,TRUE,0.15,10,9,1,4,3
40,4,SOME_CONVERGED,FALSE,10,10,FALSE,TRUE,0.3,10,10,0,4,3
