DID_CONVERGE,META_DID_CONVERGE,META_PCT_CONVERGED,CLASS,META_CLASS,META_PCT_NONE,META_PCT_FAIR,META_PCT_PERFECT,SCORE,META_SCORE,ROUND_NUM,NUM_PLAYERS,NUM_TABLES,NUM_MAX_TABLES,NUM_MIN_TABLES,MAX_SEATS_PER_TABLE,MIN_SEATS_PER_TABLE
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.05975,1,2,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.71557,1,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.89845,2,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.89845,2,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.89845,2,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.89845,2,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.71557,1,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.89845,2,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.39729,1,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.71557,1,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.39729,1,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.89845,2,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.89845,2,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.89845,2,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.89845,2,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.89845,2,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,5.89845,2,3,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.07811,3,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.9672,1,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,9.11703,1,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,9.36312,1,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,9.19954,3,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.07811,3,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,9.03172,1,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.11757,1,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.07811,3,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.02043,1,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.01366,1,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.89758,1,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.76936,1,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.86382,1,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,9.11703,1,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.03402,1,4,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.87507,1,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.99555,1,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.94068,1,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.51208,1,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.97633,2,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.99555,1,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.88805,1,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.65887,1,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.90195,1,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.01008,1,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.8187,1,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.41473,2,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.26732,1,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.58835,2,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.03428,1,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.34613,1,5,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.93758,1,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.86137,2,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.00083,2,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.05378,2,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.01163,1,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,9.1125,2,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.45805,1,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.61735,1,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.09597,2,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.85022,1,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.55777,1,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.38015,2,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.672,1,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.97304,2,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.09597,2,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.45262,1,6,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.41288,1,7,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.20491,3,7,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,6.86365,3,7,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,9.31111,1,7,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,7.97992,1,7,7,2,1,1,4,3
False,NONE_CONVERGED,0,NONE,ALL_NONE,1,0,0,8.10385,2,7,7,2,1,1,4,3
