DID_CONVERGE,META_DID_CONVERGE,META_PCT_CONVERGED,CLASS,META_CLASS,META_PCT_NONE,META_PCT_FAIR,META_PCT_PERFECT,SCORE,META_SCORE,GOOD_SEAT_PCT,ROUND_NUM,NUM_PLAYERS,NUM_TABLES,NUM_MAX_TABLES,NUM_MIN_TABLES,MAX_SEATS_PER_TABLE,MIN_SEATS_PER_TABLE
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.61085,1,0.14286,6,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,6.9843,2,0.28571,6,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,9.39257,1,0.14286,6,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.62438,2,0.28571,6,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.65327,2,0.28571,6,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.00083,2,0.28571,6,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.02421,1,0.14286,7,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.85445,1,0.14286,7,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.40101,1,0.14286,7,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.20095,1,0.14286,7,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,9.8595,2,0.28571,7,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,10.53538,1,0.14286,7,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.50258,1,0.14286,7,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.3578,1,0.14286,7,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,9.332,1,0.14286,7,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,7.98863,3,0.42857,7,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.9123,2,0.28571,8,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.56921,1,0.14286,8,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,10.04875,1,0.14286,8,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.08723,1,0.14286,8,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.88758,1,0.14286,8,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.15716,1,0.14286,8,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,10.60257,1,0.14286,8,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,10.38283,2,0.28571,8,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,8.44011,1,0.14286,8,7,2,1,1,4,3
False,NONE_CONVERGED,0.0,NONE,ALL_NONE,1.0,0.0,0.0,10.57025,3,0.42857,8,7,2,1,1,4,3
False,SOME_CONVERGED,0.7,NONE,SOME_FAIR_SOME_NONE,0.3,0.7,0.0,8.15112,2,0.25,4,8,2,2,0,4,3
False,SOME_CONVERGED,0.7,NONE,SOME_FAIR_SOME_NONE,0.3,0.7,0.0,8.15112,2,0.25,4,8,2,2,0,4,3
False,SOME_CONVERGED,0.7,NONE,SOME_FAIR_SOME_NONE,0.3,0.7,0.0,8.15112,2,0.25,4,8,2,2,0,4,3
True,SOME_CONVERGED,0.7,FAIR,SOME_FAIR_SOME_NONE,0.3,0.7,0.0,6.35951,8,1.0,4,8,2,2,0,4,3
True,SOME_CONVERGED,0.7,FAIR,SOME_FAIR_SOME_NONE,0.3,0.7,0.0,6.35951,8,1.0,4,8,2,2,0,4,3
True,SOME_CONVERGED,0.7,FAIR,SOME_FAIR_SOME_NONE,0.3,0.7,0.0,6.35951,8,1.0,4,8,2,2,0,4,3
True,SOME_CONVERGED,0.7,FAIR,SOME_FAIR_SOME_NONE,0.3,0.7,0.0,6.35951,8,1.0,4,8,2,2,0,4,3
True,SOME_CONVERGED,0.7,FAIR,SOME_FAIR_SOME_NONE,0.3,0.7,0.0,6.35951,8,1.0,4,8,2,2,0,4,3
True,SOME_CONVERGED,0.7,FAIR,SOME_FAIR_SOME_NONE,0.3,0.7,0.0,6.35951,8,1.0,4,8,2,2,0,4,3
True,SOME_CONVERGED,0.7,FAIR,SOME_FAIR_SOME_NONE,0.3,0.7,0.0,23.66845,8,1.0,4,8,2,2,0,4,3
False,SOME_CONVERGED,0.2,NONE,SOME_FAIR_SOME_NONE,0.8,0.2,0.0,7.64505,2,0.25,5,8,2,2,0,4,3
False,SOME_CONVERGED,0.2,NONE,SOME_FAIR_SOME_NONE,0.8,0.2,0.0,8.49481,6,0.75,5,8,2,2,0,4,3
False,SOME_CONVERGED,0.2,NONE,SOME_FAIR_SOME_NONE,0.8,0.2,0.0,7.64505,2,0.25,5,8,2,2,0,4,3
False,SOME_CONVERGED,0.2,NONE,SOME_FAIR_SOME_NONE,0.8,0.2,0.0,8.93975,4,0.5,5,8,2,2,0,4,3
